,instances,timeElapse,solutions,failures,restarts
0,1,0.23,1,1,0
1,2,0.24,1,1,0
2,3,0.24,1,6,0
3,4,0.23,1,7,0
4,5,0.25,1,28,0
5,6,0.25,1,29,0
6,7,0.24,1,11,0
7,8,0.26,1,3,0
8,9,0.25,1,6,0
9,10,0.25,1,18,0
10,11,0.25,1,34,0
11,12,0.28,1,1597,0
12,13,0.24,1,133,0
13,14,0.28,1,65,0
14,15,0.23,1,11,0
15,16,300.03,0,9167275,0
16,17,0.28,1,1174,0
17,18,0.28,1,9,0
18,19,11.34,1,306340,0
19,20,0.75,1,11122,0
20,21,0.33,1,1981,0
21,22,300.02,0,5540441,0
22,23,0.24,1,32,0
23,24,0.24,1,9,0
24,25,29.01,1,478780,0
25,26,17.09,1,399396,0
26,27,0.36,1,154,0
27,28,0.26,1,17,0
28,29,0.26,1,10,0
29,30,300.02,0,6448556,0
30,31,8.94,1,465251,0
31,32,300.04,0,8333845,0
32,33,0.24,1,11,0
33,34,300.02,0,12047979,0
34,35,300.03,0,9478522,0
35,36,300.03,0,13770609,0
36,37,300.02,0,8864711,0
37,38,300.02,0,7159965,0
38,39,28.58,1,578359,0
39,40,300.04,0,1713080,0
