,instances,timeElapse,solutions,failures,restarts
0,1,0.26,2,20,0
1,2,0.24,3,10,0
2,3,0.24,3,65,0
3,4,0.24,4,50,0
4,5,0.25,3,103,0
5,6,0.25,5,243,0
6,7,0.27,4,1267,0
7,8,0.28,6,3306,0
8,9,0.28,4,1734,0
9,10,1.4,5,93956,0
10,11,12.5,3,544159,0
11,12,300.02,0,13958241,0
12,13,3.74,5,193356,0
13,14,300.02,0,13149040,0
14,15,300.02,0,10897469,0
15,16,300.03,0,8553773,0
16,17,300.02,0,9760576,0
17,18,300.02,0,9600009,0
18,19,300.03,0,8537091,0
19,20,300.03,0,8735761,0
20,21,300.04,0,15654675,0
21,22,300.05,0,16292790,0
22,23,300.03,0,18658572,0
23,24,300.03,0,18673622,0
24,25,300.03,0,14117636,0
25,26,300.02,0,17351508,0
26,27,300.13,0,16967782,0
27,28,300.03,0,10283653,0
28,29,300.04,0,15955478,0
29,30,300.03,0,15371263,0
30,31,300.02,0,20376594,0
31,32,300.03,0,13394726,0
32,33,300.04,0,16369417,0
33,34,300.03,0,9610225,0
34,35,300.03,0,9491397,0
35,36,300.04,0,6773213,0
36,37,300.02,0,14060343,0
37,38,300.02,0,14911396,0
38,39,300.02,0,13599585,0
39,40,300.05,0,3991710,0
