,instances,timeElapse,solutions,failures,restarts
0,1,0.24,1,1,0
1,2,0.23,1,3,0
2,3,0.24,1,6,0
3,4,0.25,1,15,0
4,5,0.25,1,9,0
5,6,0.26,1,29,0
6,7,0.25,1,6,0
7,8,0.29,1,3,0
8,9,0.23,1,6,0
9,10,0.23,1,13,0
10,11,0.52,1,9962,0
11,12,0.24,1,5,0
12,13,0.27,1,844,0
13,14,0.24,1,8,0
14,15,0.4,1,5225,0
15,16,300.02,0,9487969,0
16,17,0.25,1,390,0
17,18,3.96,1,91703,0
18,19,0.33,1,1690,0
19,20,6.96,1,169246,0
20,21,0.33,1,1999,0
21,22,76.73,1,1717107,0
22,23,0.24,1,32,0
23,24,0.25,1,9,0
24,25,300.04,0,5150432,0
25,26,16.77,1,399427,0
26,27,0.36,1,154,0
27,28,0.25,1,17,0
28,29,0.25,1,10,0
29,30,300.03,0,6639050,0
30,31,8.63,1,466058,0
31,32,300.03,0,8626051,0
32,33,0.25,1,11,0
33,34,300.02,0,11580056,0
34,35,300.03,0,9589832,0
35,36,300.03,0,13961111,0
36,37,300.02,0,9893516,0
37,38,300.03,0,7279015,0
38,39,28.18,1,578338,0
39,40,300.06,0,2330807,0
