,instances,timeElapse,solutions,failures,restarts
0,1,0.26,2,19,0
1,2,0.24,4,39,0
2,3,0.24,4,30,0
3,4,0.24,4,53,0
4,5,0.25,4,1529,0
5,6,0.27,5,1777,0
6,7,0.28,6,1699,0
7,8,1.32,3,116578,0
8,9,0.27,4,2099,0
9,10,1.1,3,56896,0
10,11,17.21,4,822822,0
11,12,300.04,0,22031977,0
12,13,296.56,1,19171414,0
13,14,201.59,5,11511750,0
14,15,300.03,0,31093665,0
15,16,300.02,0,14911423,0
16,17,300.02,0,19562377,0
17,18,1074.63,0,15271069,0
18,19,300.06,0,20350822,0
19,20,300.02,0,12142235,0
20,21,300.02,0,20531466,0
21,22,300.03,0,18818786,0
22,23,300.02,0,20816116,0
23,24,300.02,0,21138707,0
24,25,3099.5,0,1045397,0
25,26,300.07,0,18151258,0
26,27,300.12,0,18935125,0
27,28,300.02,0,12078557,0
28,29,300.02,0,20105917,0
29,30,300.03,0,17388309,0
30,31,300.02,0,22594184,0
31,32,300.03,0,15681051,0
32,33,300.02,0,18639818,0
33,34,559.65,0,6543539,0
34,35,300.03,0,13812038,0
35,36,300.03,0,14914433,0
36,37,300.02,0,15452207,0
37,38,300.22,0,14316550,0
38,39,300.22,0,14446664,0
39,40,300.04,0,4085163,0
