,instances,timeElapse,solutions,failures,restarts
0,1,0.23,1,1,0
1,2,0.22,1,1,0
2,3,0.32,13,25,0
3,4,0.24,1,7,0
4,5,0.27,1,12,0
5,6,0.3,1,8,0
6,7,0.25,1,25,0
7,8,0.23,1,2,0
8,9,0.25,1,6,0
9,10,0.29,45,937,0
10,11,34.52,4,1314447,0
11,12,0.25,1,823,0
12,13,0.26,1,1062,0
13,14,0.26,1,501,0
14,15,0.27,2,424,0
15,16,2.69,1,91520,0
16,17,0.43,1,8097,0
17,18,0.27,1,840,0
18,19,142.03,1,3888365,0
19,20,3.36,1,77941,0
20,21,40.92,1,1010478,0
21,22,10.99,1,226657,0
22,23,9.11,1,359594,0
23,24,0.76,1,21201,0
24,25,1.57,1,24852,0
25,26,56.7,1,1598167,0
26,27,8.82,1,320345,0
27,28,27.05,1,723151,0
28,29,300.03,0,8795126,0
29,30,300.02,0,8076848,0
30,31,250.09,1,11851742,0
31,32,27.35,1,1004048,0
32,33,300.02,0,9494227,0
33,34,300.02,0,10289284,0
34,35,300.02,0,10344924,0
35,36,0.3,1,1388,0
36,37,300.03,0,8634352,0
37,38,300.02,0,5627665,0
38,39,300.03,0,7578038,0
39,40,300.11,0,2872310,0
