,instances,timeElapse,solutions,failures,restarts
0,1,0.3,1,4,0
1,2,0.44,1,10,0
2,3,0.46,1,15,0
3,4,0.39,1,259,0
4,5,0.67,1,3441,0
5,6,0.43,1,1561,0
6,7,7.95,1,108913,0
7,8,1.02,2,6139,0
8,9,1.95,1,22407,0
9,10,1.02,3,3056133,0
10,11,0.34,2,3747051,0
11,12,5.73,3,3797454,0
12,13,0.29,2,4221347,0
13,14,2.81,3,2966360,0
14,15,0.54,22,4025161,0
15,16,1.04,2,2893606,0
16,17,0.51,2,3687982,0
17,18,300.04,0,2030541,0
18,19,0.3,1,2168220,0
19,20,0.34,1,2262891,0
20,21,0.43,2,3500355,0
21,22,2.55,2,1972887,0
22,23,0.66,36,4579660,0
23,24,300.04,0,1734917,0
24,25,0.74,1,1733621,0
25,26,300.08,0,1290623,0
26,27,0.31,2,2371166,0
27,28,0.38,2,2187736,0
28,29,0.37,2,2604640,0
29,30,277.67,2,1444461,0
30,31,300.04,0,1623852,0
31,32,300.04,0,1145364,0
32,33,23.14,47,3986330,0
33,34,76.24,26,4055382,0
34,35,0.27,1,1941350,0
35,36,0.29,11,4103327,0
36,37,300.04,0,1039952,0
37,38,300.05,0,1671487,0
38,39,300.04,0,1439499,0
39,40,300.09,0,237248,0
