,instances,timeElapse,solutions,failures,restarts
0,1,0.24,1,2,2
1,2,0.28,7,9,8
2,3,0.24,7,252,8
3,4,0.24,1,3,2
4,5,0.81,11,48779,24
5,6,0.3,2,35,3
6,7,0.32,3,79,4
7,8,300.02,0,17899196,29
8,9,0.41,11,13715,21
9,10,0.31,6,3592,13
10,11,10.08,5,399345,23
11,12,0.28,3,1558,8
12,13,0.58,4,27096,16
13,14,300.02,0,13318087,28
14,15,0.37,3,5110,11
15,16,300.02,0,12688357,28
16,17,1.48,3,53145,16
17,18,300.03,0,10165495,27
18,19,300.03,0,10915513,27
19,20,300.22,0,18406433,29
20,21,300.02,0,10962434,27
21,22,410.77,0,7360926,26
22,23,19.18,2,1022803,23
23,24,300.02,0,9922877,27
24,25,300.03,0,12952769,28
25,26,300.03,0,17626068,29
26,27,300.03,0,18970490,29
27,28,300.03,0,9885529,27
28,29,300.02,0,13253470,28
29,30,1110.7,0,68748,15
30,31,300.04,0,10064325,27
31,32,300.02,0,7252391,26
32,33,14.67,3,739356,23
33,34,300.02,0,10019238,27
34,35,59.15,2,8673065,29
35,36,113.34,3,3345290,26
36,37,144.5,4,7087117,30
37,38,300.03,0,7435858,26
38,39,300.03,0,14238246,28
39,40,300.05,0,2177955,23
