,instances,timeElapse,solutions,failures,restarts
0,1,0.24,1,2,2
1,2,0.25,4,4,5
2,3,0.25,7,839,14
3,4,0.23,1,3,2
4,5,0.24,3,178,5
5,6,0.23,2,35,3
6,7,0.28,3,79,4
7,8,0.25,5,124,7
8,9,0.33,13,4220,35
9,10,300.02,0,19416202,29049
10,11,9.42,14,367832,900
11,12,300.02,0,14512426,21660
12,13,300.02,0,14522476,21692
13,14,300.03,0,13230371,19716
14,15,18.16,18,1245899,2381
15,16,300.03,0,11841871,17234
16,17,4.12,3,150085,399
17,18,300.02,0,9435922,15357
18,19,68.12,5,1437130,2813
19,20,300.02,0,9781417,16173
20,21,19.43,4,410860,1013
21,22,300.02,0,8597373,14009
22,23,1.1,3,34245,128
23,24,300.02,0,9779159,16163
24,25,300.03,0,15033983,22526
25,26,0.82,3,19904,71
26,27,300.02,0,6734704,10877
27,28,2.43,1,113915,303
28,29,4.57,5,113181,301
29,30,300.03,0,14494421,21627
30,31,300.03,0,10164152,16382
31,32,15.04,2,7100453,11596
32,33,1.65,2,75628,240
33,34,12.31,5,359821,864
34,35,300.03,0,8298979,13310
35,36,118.65,19,3865934,6798
36,37,54.22,3,6680694,10753
37,38,160.75,2,9371771,15357
38,39,300.03,0,13952262,20508
39,40,300.05,0,3167162,5628
