,instances,timeElapse,solutions,failures,restarts
0,1,0.23,3,9,0
1,2,0.27,2,20,0
2,3,0.32,8,7141,0
3,4,0.24,3,25,0
4,5,0.34,7,9545,0
5,6,0.27,6,180,0
6,7,0.32,3,60,0
7,8,5.39,9,282591,0
8,9,0.24,13,550,0
9,10,1.01,5,56367,0
10,11,90.79,6,4722468,0
11,12,42.38,7,2233566,0
12,13,300.02,0,16652199,0
13,14,300.02,0,14230571,0
14,15,300.02,0,17097268,0
15,16,300.02,0,11061409,0
16,17,300.02,0,13761539,0
17,18,300.02,0,6449493,0
18,19,300.02,0,19852742,0
19,20,300.02,0,11832786,0
20,21,300.04,0,8285424,0
21,22,300.03,0,7269102,0
22,23,300.02,0,18024274,0
23,24,300.02,0,10848580,0
24,25,300.03,0,16473097,0
25,26,1903.59,0,202497,0
26,27,300.52,0,19516079,0
27,28,300.02,0,18629876,0
28,29,300.02,0,16810432,0
29,30,300.02,0,16447870,0
30,31,300.02,0,8589902,0
31,32,300.03,0,14900896,0
32,33,300.02,0,20926212,0
33,34,300.03,0,6744882,0
34,35,300.03,0,13453327,0
35,36,300.03,0,11476295,0
36,37,300.03,0,14740824,0
37,38,300.03,0,10860668,0
38,39,300.02,0,14392929,0
39,40,300.04,0,4114693,0
