instance time height
1 0:00:00.021041 8 
2 0:00:00.113168 9 
3 0:00:00.303794 10 
4 0:00:00.653683 11 
5 0:00:01.080186 12 
6 0:00:01.610930 13 
7 0:00:04.477874 14 
8 0:00:01.437961 15 
9 0:00:01.213960 16 
10 0:00:34.698066 17 
11 0:04:38.553959 18 
12 0:02:43.477071 19 
13 0:00:08.938009 20 
14 0:00:41.824365 21 
15 0:02:49.180878 22 
16 0:02:26.438267 24 
17 0:03:37.932486 24 
18 0:01:37.702179 26 
19 0:04:20.033786 28 
20 0:03:44.802551 28 
21 0:04:05.035869 29 
22 0:04:12.454063 31 
23 0:04:56.739855 31 
24 0:01:50.605666 32 
26 0:04:58.880766 34 
27 0:03:17.453725 35 
28 0:08:32.226263 37 
29 0:03:53.785850 38 
31 0:03:01.491940 39 
33 0:02:31.240513 41 
