instance time height
1 0:00:00.001934 8 
2 0:00:00.026731 9 
3 0:00:00.006617 10 
4 0:00:00.021625 11 
5 0:00:00.040531 12 
6 0:00:00.062372 13 
7 0:00:00.015062 14 
8 0:00:00.063581 15 
9 0:00:00.074785 16 
10 0:00:00.138546 17 
11 0:00:24.263724 18 
12 0:00:00.416917 19 
13 0:00:03.942999 20 
14 0:00:02.887404 21 
15 0:00:00.920066 22 
16 0:03:32.348234 23 
17 0:00:00.662927 24 
18 0:00:04.232637 25 
19 0:04:13.200596 26 
20 0:00:48.196751 27 
21 0:01:13.515559 28 
22 0:04:41.551804 29 
23 0:04:38.673971 30 
24 0:00:38.908511 31 
25 0:04:46.215932 32 
26 0:03:30.989079 33 
27 0:00:07.867267 34 
28 0:02:20.175407 35 
29 0:03:29.419020 36 
30 0:04:44.094860 38 
31 0:00:06.379237 38 
32 0:09:42.564500 40 
33 0:00:24.822807 40 
39 0:02:26.167008 61 
