,instances,timeElapse
0,1,0.017
1,2,0.053
2,3,0.089
3,4,0.141
4,5,0.399
5,6,0.523
6,7,0.715
7,8,1.243
8,9,0.875
9,10,3.208
10,11,300.023
11,12,7.473
12,13,5.461
13,14,10.877
14,15,13.694
15,16,300.021
16,17,47.578
17,18,71.225
18,19,300.027
19,20,300.026
20,21,300.042
21,22,300.048
22,23,75.251
23,24,60.51
24,25,300.041
25,26,300.06
26,27,154.984
27,28,300.028
28,29,215.107
29,30,300.036
30,31,36.232
31,32,1194.182
32,33,113.068
33,34,300.063
34,35,300.044
35,36,300.054
36,37,300.074
37,38,300.056
38,39,300.069
39,40,300.015
